,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Pandora Track,Unnamed: 0,channelId,channelUsername,channelUrl,numberOfSubscribers,channelTotalViews,channelTotalVideos,viewCount
861,Tek Baï¿½ï¿½,Tek Baï¿½ï¿½ï¿½ï¿½ma ,Semicenk,2024-05-03,FRX452438249,875,51.6,21803486,1250,4918007,72.0,39172911,208885,0,0,0,2606582,9.0,1655,0,3,0,0,0,0,16282,90134,0,,,,,,,,,
862,BAND4BAND,BAND4BAND (Official Video),Central Cee,2024-06-06,USSM22401074,874,51.6,86144467,1,24,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,314.0,UCV_CsAy5CNBX_uwDQ7RMe1Q,CentralCee,https://www.youtube.com/channel/UCV_CsAy5CNBX_uwDQ7RMe1Q,5270000.0,1767927086.0,72.0,8891664.0
863,Look What You Made Me Do,Look What You Made Me Do,Taylor Swift,2017-08-24,USCJY1750000,876,51.6,1152346128,93178,62880711,75.0,1922214505,18201048,178524,67907529,563244716,1749919925,122.0,11382,113,43,0,35,149366824,0,0,5102278,0,149366824,70.0,UCqECaJ8Gagnn7YCbPEzWH6g,TaylorSwift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,60700000.0,38424103158.0,285.0,928938.0
864,WOKE UP,WOKE UP,XG,2024-05-21,JPB602401462,877,51.5,16684393,1247,25606219,74.0,19177238,873736,23413,0,0,0,18.0,582,0,2,0,20,30995,102,0,63167,0,30995,,,,,,,,
865,Toki,Toki,Casper Magico,2024-05-02,QM4TX2443609,878,51.5,13741023,2062,5740990,72.0,39658915,635184,0,0,0,22620459,13.0,1109,0,2,0,0,135590,93,0,80807,0,135590,,,,,,,,
866,Young Dumb & Broke,The RCA-List (Vol. 5),Khalid,2017-01-01,USRC11700144,881,51.4,1527159800,187813,83108168,76.0,1270330281,8766754,194595,27581217,216666194,189783592,172.0,31081,185,47,0,26,410189803,0,9133063,6513209,0,410189803,114.0,UCJHC3VbFsp7kJ2NxPGltwiw,khalidbasalamah,https://www.youtube.com/channel/UCJHC3VbFsp7kJ2NxPGltwiw,3090000.0,302194365.0,5209.0,2760.0
867,El Beneficio De La Duda,El Beneficio De La Duda,Grupo Firme,2024-05-28,USA2P2433586,880,51.4,15557247,446,37375496,73.0,16286691,216933,0,0,0,0,9.0,48,0,5,0,11,489897,651,19233,91868,0,489897,,,,,,,,
868,ALV,"Sentimiento, Elegancia y Mï¿½ï¿½s Ma",Arcï¿½ï¿½,2023-11-17,QMFMF2330232,882,51.4,118490212,10053,10075643,72.0,158132299,835029,0,0,0,1207256080,8.0,18438,0,11,0,1,3877792,0,0,514683,0,3877792,,,,,,,,
869,In A Minute,In A Minute,Lil Baby,2022-04-07,USUG12200033,879,51.4,171118535,81407,13177118,57.0,238335324,1764954,75540,21092926,191118526,360805538,52.0,252456,727,4,0,31,47511512,0,0,1695618,1,47511512,110.0,UCVS88tG_NYgxF6Udnx2815Q,LilBabyATL,https://www.youtube.com/channel/UCVS88tG_NYgxF6Udnx2815Q,9730000.0,9813635684.0,118.0,2644584.0
870,Save Your Tears (with Ariana Grande) (Remix),After Hours (Deluxe),The Weeknd,2020-03-20,USUG12101839,884,51.4,1549317525,178149,71174158,73.0,385884628,4302435,89958,59135602,426511103,271720676,309.0,236616,0,166,0,58,87260353,0,5621588,3251107,0,87260353,,,,,,,,
871,No Se Vale,un,Camilo,2024-02-07,USSD12400019,883,51.4,19388370,1341,7152408,,19658783,136351,871174,22013623,441343495,110742872,1.0,1370,0,11,0,0,196350,63,0,42410,0,196350,,,,,,,,
872,Jerusalema (feat. Nomcebo Zikode),Jerusalem,Master KG,2019-11-29,ZA82Y1900130,885,51.3,406132477,110858,13496585,66.0,925222640,7714435,790561,54406926,849243924,33866411,92.0,125439,2,73,0,8,7150193,0,0,15915419,0,7150193,,,,,,,,
873,DENTRO DA HILUX,DENTRO DA HILUX - Single,Luan Pereira,2023-08-24,BCX5C2300025,888,51.2,178699480,14552,18055636,24.0,261753577,1458487,0,339300,2800000,800291411,12.0,2130,0,25,0,7,757,0,483325,121733,0,757,,,,,,,,
874,Funk do Patinho,Funk do Patinho,Bento e Totï¿,2022-01-22,BX7CP2200001,887,51.2,16197748,1827,221916,55.0,967275295,1562052,31500,2460399,40465134,16,,0,0,0,0,0,0,0,0,16249,0,,,,,,,,,
875,El Amor de Mi Vida,El Amor de Mi Vida,Los ï¿½ï¿½ngeles Az,2023-08-17,MX1722301696,886,51.2,130709283,12585,10844674,64.0,248099324,859237,682,462948,3169042,353234264,8.0,25990,0,12,0,28,2831460,0,0,555880,0,2831460,,,,,,,,
876,Blueberry Faygo,Certified Hitmaker,Lil Mosey,2019-11-08,USUM72001714,889,51.2,1295251940,197036,39104125,67.0,380793694,4733751,1099556,147484414,1065757953,142871159,121.0,133128,135,40,0,15,97563481,0,0,2786545,1,97563481,,,,,,,,
877,Jiggle Jiggle,Jiggle Jiggle,Duke & Jones,2022-05-13,GBARL2201151,891,51.2,121214716,37436,6111674,56.0,12801028,183570,4762920,1378075519,14693507776,1804738,13.0,4797,0,2,0,10,2538534,0,0,1772963,0,2538534,,,,,,,,
